SPX (S&P 500 INDEX),866.23,14.31,,,,,,,,,,,
Apr 26 2009 @ 21:26 ET,,,,,,,,,,,,,
Calls,Last Sale,Net,Bid,Ask,Vol,Open Int,Puts,Last Sale,Net,Bid,Ask,Vol,Open Int
09 Jun 685.00 (SYG FQ-E),145,0,185.7,188.8,0,2277,09 Jun 685.00 (SYG RQ-E),5.6,-4.4,5.3,6.3,3,4526
09 Jun 690.00 (SYG FR-E),158.8,0,181.1,184.1,0,0,09 Jun 690.00 (SYG RR-E),6.2,-4.6,5.7,6.7,20,280
09 Jun 695.00 (SYG FS-E),154.3,0,176.5,179.5,0,0,09 Jun 695.00 (SYG RS-E),9.3,0,6.1,7.1,0,520
09 Jun 700.00 (SPZ FT-E),168.55,15.75,172,175,1,51256,09 Jun 700.00 (SPZ RT-E),7.4,-1.1,6.7,7.1,11091,124848
09 Jun 705.00 (SPZ FA-E),0,0,167.4,170.4,0,0,09 Jun 705.00 (SPZ RA-E),9.5,0,7,8,0,45
09 Jun 710.00 (SPZ FB-E),59,0,162.9,165.9,0,9,09 Jun 710.00 (SPZ RB-E),8.3,-2.9,7.4,8.4,2,743
09 Jun 715.00 (SPZ FC-E),121,0,158.4,161.4,0,1096,09 Jun 715.00 (SPZ RC-E),8.6,-4.4,8,9,41,1292
09 Jun 720.00 (SPZ FD-E),59,0,154,157,0,971,09 Jun 720.00 (SPZ RD-E),9,-1.1,8.5,9.5,1,1529
09 Jun 725.00 (SPZ FE-E),121.5,0,149.5,152.5,0,12725,09 Jun 725.00 (SPZ RE-E),9.45,-2.55,9.1,10.1,647,57459
09 Jun 730.00 (SPZ FF-E),58,0,145.1,148.1,0,5412,09 Jun 730.00 (SPZ RF-E),11.6,-2.5,9.7,10.7,20,10809
09 Jun 735.00 (SPZ FG-E),117.9,0,140.8,143.8,0,3780,09 Jun 735.00 (SPZ RG-E),11,-3.85,10.1,11.5,6,2347
09 Jun 740.00 (SPZ FH-E),86.7,0,136.5,139.5,0,4175,09 Jun 740.00 (SPZ RH-E),12.05,-2.95,10.8,12.1,22,8329
09 Jun 745.00 (SPZ FI-E),80,0,132.2,135.2,0,6881,09 Jun 745.00 (SPZ RI-E),12.25,-5.75,11.5,12.8,3,7614
09 Jun 750.00 (SPZ FJ-E),106,0,127.9,130.9,0,103747,09 Jun 750.00 (SPZ RJ-E),13.7,-2.1,12.5,13.6,3157,142040
09 Jun 755.00 (SPZ FK-E),113.75,0,123.7,126.7,0,10015,09 Jun 755.00 (SPZ RK-E),15.35,-3.15,13.1,14.4,5,10631
09 Jun 760.00 (SPZ FL-E),112.2,5.2,119.6,122.6,100,16944,09 Jun 760.00 (SPZ RL-E),15.4,-4.3,13.9,15.2,23,19069
09 Jun 765.00 (SPZ FM-E),85,0,115.5,118.5,0,23509,09 Jun 765.00 (SPZ RM-E),17.05,-2.85,14.8,16.1,7,23587
09 Jun 770.00 (SPZ FN-E),109.7,0,111.4,114.4,0,17925,09 Jun 770.00 (SPZ RN-E),17,-1.1,15.8,17.1,10,24829
09 Jun 775.00 (SPZ FO-E),85.1,0,107.4,110.4,0,34221,09 Jun 775.00 (SPZ RO-E),18.6,-2.5,16.7,18,2084,63874
09 Jun 780.00 (SPZ FP-E),101,0,103.4,106.4,0,23687,09 Jun 780.00 (SPZ RP-E),18.7,-4.45,17.7,19,195,23498
09 Jun 785.00 (SPZ FQ-E),91,7.5,99.5,102.5,1,24451,09 Jun 785.00 (SPZ RQ-E),21.1,-6.4,18.8,20.1,2,24530
09 Jun 790.00 (SPZ FR-E),87.4,6.4,95.6,98.6,1,10678,09 Jun 790.00 (SPZ RR-E),20.25,-9.75,20,21.3,4,16386
09 Jun 795.00 (SPZ FS-E),83,0,91.8,94.8,0,13725,09 Jun 795.00 (SPZ RS-E),25,-3.7,21.1,22.4,14,14263
09 Jun 800.00 (SPX FT-E),88.9,20,88.1,91.1,234,178081,09 Jun 800.00 (SPX RT-E),23.05,-7.35,22.6,23.7,3981,201464
09 Jun 805.00 (SPX FA-E),59,0,84.4,87.3,0,8105,09 Jun 805.00 (SPX RA-E),23.9,-7.1,23.7,25,1,8105
09 Jun 810.00 (SPX FB-E),78.6,14,80.8,83.8,3,14731,09 Jun 810.00 (SPX RB-E),28.5,-5.1,25.1,26.4,20,20111
09 Jun 815.00 (SPX FC-E),64.5,0,77.2,80.2,0,20501,09 Jun 815.00 (SPX RC-E),34.4,0,26.5,27.8,0,19814
09 Jun 820.00 (SPX FD-E),55.7,0,73.8,76.7,0,12452,09 Jun 820.00 (SPX RD-E),28.4,-8.4,28,29.3,1320,12999
09 Jun 825.00 (SPX FE-E),71.65,15.15,70.3,73.2,101,54167,09 Jun 825.00 (SPX RE-E),29.9,-6.1,29.6,30.9,5531,51466
09 Jun 830.00 (SPX FF-E),67.5,19.5,67,69.9,1,26903,09 Jun 830.00 (SPX RF-E),46,0,31,32.8,0,36502
09 Jun 835.00 (SPX FG-E),54.55,0,63.7,66.6,0,37887,09 Jun 835.00 (SPX RG-E),34.8,-5.6,32.7,34.5,4,32199
09 Jun 840.00 (SPX FH-E),62,20,60.5,63.5,14,26163,09 Jun 840.00 (SPX RH-E),35.6,-6.4,34.5,36.3,385,26311
09 Jun 845.00 (SPX FI-E),55,9,58,59.8,140,21536,09 Jun 845.00 (SPX RI-E),40.5,-5.5,36.4,38.2,151,20956
09 Jun 850.00 (SPX FJ-E),55.5,10.5,55,56.8,6154,104760,09 Jun 850.00 (SPX RJ-E),43.5,-3.5,38.4,40.2,13880,152884
09 Jun 855.00 (SPX FK-E),46,-1,52,53.8,4305,8404,09 Jun 855.00 (SPX RK-E),46,0,40.4,42.2,4296,8468
09 Jun 860.00 (SPX FL-E),48,14,49.1,50.9,8357,10965,09 Jun 860.00 (SPX RL-E),46,-6,42.5,44.3,8706,9606
09 Jun 865.00 (SPX FM-E),47,8.25,46.3,48.1,8174,3506,09 Jun 865.00 (SPX RM-E),46,-17.2,44.7,46.5,8734,3555
09 Jun 870.00 (SPX FN-E),45,7.5,43.6,45.4,354,7405,09 Jun 870.00 (SPX RN-E),50,-13.8,47,48.8,149,4219
09 Jun 875.00 (SPX FO-E),41.7,8.2,41.6,42.8,14501,63094,09 Jun 875.00 (SPX RO-E),50.9,-14.6,49.4,51.2,1501,9876
09 Jun 880.00 (SPX FP-E),37.3,7.3,38.5,40.3,3861,151,09 Jun 880.00 (SPX RP-E),52.6,-13.1,51.9,53.7,8,91
09 Jun 885.00 (SPX FQ-E),34.25,2.75,36.1,37.9,17,7248,09 Jun 885.00 (SPX RQ-E),0,0,54.4,56.2,0,0
09 Jun 890.00 (SPX FR-E),32.1,8.1,33.7,35.5,1,1618,09 Jun 890.00 (SPX RR-E),56.8,0,57.1,58.9,0,50
09 Jun 895.00 (SPX FS-E),31.75,8.45,31.5,33.3,1,505,09 Jun 895.00 (SPX RS-E),73.7,0,59.8,61.6,0,90
09 Jun 900.00 (SXB FT-E),29,6,30,30.9,6090,96335,09 Jun 900.00 (SXB RT-E),67,-11,62,65,208,48722
09 Jun 905.00 (SXB FA-E),26,2.5,27.5,28.8,30,174,09 Jun 905.00 (SXB RA-E),0,0,65,68,0,0
09 Jun 910.00 (SXB FB-E),25,5.8,25.5,26.8,183,3060,09 Jun 910.00 (SXB RB-E),0,0,68,71,0,0
09 Jun 915.00 (SXB FC-E),21.45,4.1,23.6,24.9,5,512,09 Jun 915.00 (SXB RC-E),0,0,71.1,74.1,0,0
09 Jun 920.00 (SXB FD-E),21.2,5.5,21.8,23.1,2,8858,09 Jun 920.00 (SXB RD-E),0,0,74.3,77.3,0,0
09 Jun 925.00 (SXB FE-E),20,4.8,20.1,21.5,1586,34794,09 Jun 925.00 (SXB RE-E),85,0,77.6,80.6,0,9636
09 Jun 930.00 (SXB FF-E),18.6,4.7,18.5,19.8,20,2592,09 Jun 930.00 (SXB RF-E),0,0,81,84,0,0
09 Jun 935.00 (SXB FG-E),17.1,4.75,17,18,35,4047,09 Jun 935.00 (SXB RG-E),105.75,0,84.5,87.5,0,1
09 Jun 940.00 (SXB FH-E),14.85,4.85,15.6,16.9,1,563,09 Jun 940.00 (SXB RH-E),123.5,0,88,91,0,6
09 Jun 945.00 (SXB FI-E),10,0,14.2,15.6,0,65,09 Jun 945.00 (SXB RI-E),114.2,0,91.7,94.7,0,400
09 Jun 950.00 (SXB FJ-E),13.4,4.8,13,14,7324,67529,09 Jun 950.00 (SXB RJ-E),102.5,-16.5,95.4,98.4,1,27713
09 Jun 955.00 (SXB FK-E),12.15,3.9,11.8,13.1,18,59,09 Jun 955.00 (SXB RK-E),0,0,99.2,102.2,0,0
09 Jun 960.00 (SXB FL-E),11,3.8,10.7,12,32,785,09 Jun 960.00 (SXB RL-E),183.4,0,103.1,106.1,0,10
09 Jun 965.00 (SXB FM-E),7.5,0,9.8,10.8,0,33,09 Jun 965.00 (SXB RM-E),0,0,107.1,110.1,0,0
09 Jun 970.00 (SXB FN-E),9.3,3.8,8.9,9.9,13,41,09 Jun 970.00 (SXB RN-E),0,0,111.2,114.2,0,0
09 Jun 975.00 (SXB FO-E),8.6,2.8,8,8.4,1873,17823,09 Jun 975.00 (SXB RO-E),141,0,115.3,118.3,0,15013
09 Jun 980.00 (SXB FP-E),7.45,3.25,7.2,8.2,15,15,09 Jun 980.00 (SXB RP-E),128,0,119.5,122.5,0,2
09 Jun 985.00 (SXB FQ-E),5.25,0.75,6.5,7.5,10,1289,09 Jun 985.00 (SXB RQ-E),0,0,123.7,126.7,0,0
09 Jun 990.00 (SXB FR-E),6.1,2.7,5.8,6.8,14,455,09 Jun 990.00 (SXB RR-E),0,0,128,131,0,0
09 Jun 995.00 (SXB FS-E),5.7,1.65,5.1,6.1,3,10,09 Jun 995.00 (SXB RS-E),0,0,132.4,135.4,0,0
09 Jun 1000.00 (SPQ FT-E),4.6,1.6,4.7,5,2291,47786,09 Jun 1000.00 (SPQ RT-E),141.8,-22.2,136.8,139.8,2,53973
09 Jun 1005.00 (SPQ FA-E),4.55,0,4.1,4.9,3,0,09 Jun 1005.00 (SPQ RA-E),0,0,141.3,144.3,0,0
09 Jun 1010.00 (SPQ FB-E),3.5,1.55,3.7,4.5,35,761,09 Jun 1010.00 (SPQ RB-E),0,0,145.8,148.8,0,0
09 Jun 1015.00 (SPQ FC-E),3.5,1.2,3.2,4,12,42,09 Jun 1015.00 (SPQ RC-E),0,0,150.4,153.4,0,0
09 Jun 1020.00 (SPQ FD-E),2.45,0.25,2.9,3.6,20,30,09 Jun 1020.00 (SPQ RD-E),156.35,0,155,158,0,14
09 Jun 1025.00 (SPQ FE-E),2.65,0.85,2.6,2.9,212,14715,09 Jun 1025.00 (SPQ RE-E),157.75,0,159.6,162.6,0,4610
09 Jun 1030.00 (SPQ FF-E),2.45,0.7,2.3,2.9,5,19,09 Jun 1030.00 (SPQ RF-E),0,0,164.3,167.3,0,0
09 Jun 1035.00 (SPQ FG-E),2.15,0.85,2,2.6,10,113,09 Jun 1035.00 (SPQ RG-E),0,0,169,172,0,0
09 Jun 1040.00 (SPQ FH-E),1.95,0.35,1.75,2.35,5,13,09 Jun 1040.00 (SPQ RH-E),0,0,173.7,176.7,0,0
09 Jun 1050.00 (SPQ FJ-E),1.5,0.5,1.3,1.6,192,37999,09 Jun 1050.00 (SPQ RJ-E),188,0,183.3,186.3,0,11544
09 Jun 1060.00 (SPQ FL-E),0.9,0,0.95,1.6,0,190,09 Jun 1060.00 (SPQ RL-E),0,0,192.9,195.9,0,0
09 Jun 1070.00 (SPQ FN-E),0.95,0.4,0.7,1.3,22,281,09 Jun 1070.00 (SPQ RN-E),0,0,202.7,205.7,0,0
09 Jun 1075.00 (SPQ FO-E),0.9,0.3,0.6,0.9,19,7440,09 Jun 1075.00 (SPQ RO-E),135,0,207.5,210.5,0,4
09 Jun 1080.00 (SPQ FP-E),0.55,0,0.5,1.1,0,146,09 Jun 1080.00 (SPQ RP-E),0,0,212.4,215.4,0,0
09 Jun 1090.00 (SPQ FR-E),0.45,0,0.35,0.95,0,40,09 Jun 1090.00 (SPQ RR-E),0,0,222.3,225.3,0,0
09 Jun 1100.00 (SPT FT-E),0.3,0,0.2,0.5,0,38273,09 Jun 1100.00 (SPT RT-E),255.55,0,232.1,235.1,0,25030
09 Jun 1125.00 (SPT FE-E),0.2,0,0.05,0.65,0,4035,09 Jun 1125.00 (SPT RE-E),377.15,0,256.9,259.9,0,6
09 Jun 1150.00 (SPT FJ-E),0.25,0,0.05,0.55,0,23318,09 Jun 1150.00 (SPT RJ-E),360.5,0,281.8,284.8,0,35080
09 Jun 1175.00 (SPT FO-E),0.1,0,0.05,0.45,0,9351,09 Jun 1175.00 (SPT RO-E),283.5,0,306.7,309.7,0,9247
09 Jun 1180.00 (SPT FP-E),0,0,0,0.45,0,0,09 Jun 1180.00 (SPT RP-E),325.5,0,311.7,314.7,0,871
09 Jun 1185.00 (SPT FQ-E),3,0,0,0.4,0,1441,09 Jun 1185.00 (SPT RQ-E),174.6,0,316.6,319.6,0,1892
09 Jun 1190.00 (SPT FR-E),39.6,0,0,0.4,0,1,09 Jun 1190.00 (SPT RR-E),127.5,0,321.6,324.6,0,2200
09 Jun 1195.00 (SPT FS-E),0,0,0,0.4,0,0,09 Jun 1195.00 (SPT RS-E),266.9,0,326.6,329.6,0,69
09 Jun 1200.00 (SZP FT-E),0.15,0,0,0.15,0,37758,09 Jun 1200.00 (SZP RT-E),356.5,0,331.6,334.6,0,35156
09 Jun 1225.00 (SZP FE-E),0.5,0,0,0.15,0,6655,09 Jun 1225.00 (SZP RE-E),373.8,0,356.5,359.5,0,13727
09 Jun 1250.00 (SZP FJ-E),0.05,0,0,0.15,0,24319,09 Jun 1250.00 (SZP RJ-E),408,0,381.5,384.5,0,32580
09 Jun 1275.00 (SZP FO-E),0.05,0,0,0.15,0,7923,09 Jun 1275.00 (SZP RO-E),421,0,406.5,409.5,0,13000
09 Jun 1300.00 (SXY FT-E),0.1,0,0,0.15,1400,47767,09 Jun 1300.00 (SXY RT-E),434,-24.9,431.4,434.4,1400,52144
09 Jun 1325.00 (SXY FE-E),0.05,0,0,0.05,0,15328,09 Jun 1325.00 (SXY RE-E),482.5,0,456.4,459.4,0,5931
09 Jun 1350.00 (SXY FJ-E),0.05,0,0,0.15,0,13413,09 Jun 1350.00 (SXY RJ-E),576,0,481.4,484.4,0,7752
09 Jun 1375.00 (SXY FO-E),0.05,0,0,0.15,0,6697,09 Jun 1375.00 (SXY RO-E),545,0,506.3,509.3,0,1607
09 Jun 1400.00 (SXZ FT-E),0.05,0,0,0.05,0,27409,09 Jun 1400.00 (SXZ RT-E),568,0,531.3,534.3,0,21151
09 Jun 1425.00 (SXZ FE-E),0.1,0,0,0.2,0,4069,09 Jun 1425.00 (SXZ RE-E),205.1,0,556.3,559.3,0,1955
09 Jun 1450.00 (SXZ FJ-E),0.05,0,0,0.05,0,22117,09 Jun 1450.00 (SXZ RJ-E),705,0,581.2,584.2,0,13856
09 Jun 1475.00 (SXZ FO-E),0.05,0,0,0.15,0,1351,09 Jun 1475.00 (SXZ RO-E),500,0,606.2,609.2,0,29
09 Jun 1500.00 (SXM FT-E),0.05,0,0,0.05,0,57896,09 Jun 1500.00 (SXM RT-E),663,0,631.2,634.2,0,34175
09 Jun 1525.00 (SXM FE-E),0.1,0,0,0.15,0,7808,09 Jun 1525.00 (SXM RE-E),621.95,0,656.2,659.2,0,800
09 Jun 1550.00 (SXM FJ-E),0.4,0,0,0.05,0,13403,09 Jun 1550.00 (SXM RJ-E),723,0,681.1,684.1,0,3921
09 Jun 1575.00 (SXM FO-E),0.05,0,0,0.15,0,511,09 Jun 1575.00 (SXM RO-E),333.8,0,706.1,709.1,0,17
09 Jun 1600.00 (SPB FT-E),0.1,0,0,0.05,0,16432,09 Jun 1600.00 (SPB RT-E),430.3,0,731.1,734.1,0,1068
09 Jun 1650.00 (SPB FJ-E),0.05,0,0,0.15,0,2713,09 Jun 1650.00 (SPB RJ-E),589,0,781,784,0,251
09 Jun 1700.00 (SVP FT-E),0.25,0,0,0.15,0,4796,09 Jun 1700.00 (SVP RT-E),879,0,831,834,0,265
09 Jun 1800.00 (SVP FZ-E),0.05,0,0,0.05,0,4979,09 Jun 1800.00 (SVP RZ-E),419.4,0,930.8,933.8,0,370
09 Jun 1900.00 (SVP FY-E),0.05,0,0,0.05,0,9312,09 Jun 1900.00 (SVP RY-E),1061.95,0,1030.7,1033.7,0,402
09 Jun 400.00 (SQG FT-E),0,0,464.6,467.6,0,0,09 Jun 400.00 (SQG RT-E),0,0,0,0.55,0,0
09 Jun 425.00 (SQG FE-E),0,0,439.8,442.8,0,0,09 Jun 425.00 (SQG RE-E),0.55,0.3,0.1,0.7,940,112
09 Jun 450.00 (SQG FJ-E),0,0,415,418,0,0,09 Jun 450.00 (SQG RJ-E),0.25,-0.45,0.25,0.85,137,883
09 Jun 475.00 (SQG FO-E),0,0,390.2,393.2,0,0,09 Jun 475.00 (SQG RO-E),0.5,0,0.45,1.05,25,0
09 Jun 500.00 (QSZ FJ-E),0,0,365.5,368.5,0,0,09 Jun 500.00 (QSZ RJ-E),0,0,0.65,1.25,0,0
09 Jun 525.00 (QSZ FE-E),0,0,340.8,343.8,0,0,09 Jun 525.00 (QSZ RE-E),1.25,0,0.9,1.55,0,2
09 Jun 550.00 (QSZ FK-E),0,0,316.2,319.2,0,0,09 Jun 550.00 (QSZ RK-E),0,0,1.35,1.95,0,0
09 Jun 575.00 (QSZ FA-E),0,0,291.8,294.8,0,0,09 Jun 575.00 (QSZ RA-E),3.5,0,1.85,2.45,0,3
09 Jun 600.00 (QSZ FL-E),0,0,267.5,270.5,0,0,09 Jun 600.00 (QSZ RL-E),3.4,0,2.55,3.2,0,802
09 Jun 625.00 (QSZ FZ-E),0,0,243.5,246.5,0,0,09 Jun 625.00 (QSZ RZ-E),3.9,-0.7,3.4,4.2,588,1048
09 Jun 650.00 (QSZ FM-E),0,0,219.8,222.8,0,0,09 Jun 650.00 (QSZ RM-E),4.8,-2.2,4.7,5.5,6,352
09 Jun 675.00 (QSZ FO-E),0,0,196.5,199.5,0,0,09 Jun 675.00 (QSZ RO-E),10,0,6.3,7.3,0,11
09 Jun 700.00 (QZQ FN-E),138.8,0,173.9,176.9,0,13,09 Jun 700.00 (QZQ RN-E),9,0.6,8.6,9.6,4,37
09 Jun 725.00 (QZQ FE-E),0,0,151.9,154.9,0,0,09 Jun 725.00 (QZQ RE-E),18.2,0,11.4,12.7,0,42
09 Jun 750.00 (QZQ FO-E),118.5,0,130.8,133.8,0,7,09 Jun 750.00 (QZQ RO-E),22,0,15.3,16.6,0,35
09 Jun 775.00 (QZQ FX-E),99.5,0,110.7,113.7,0,13,09 Jun 775.00 (QZQ RX-E),31.1,0,20.1,21.4,0,5
09 Jun 800.00 (QZQ FP-E),60,0,91.8,94.8,0,7,09 Jun 800.00 (QZQ RP-E),28.15,-7.35,26.2,27.6,1,54
09 Jun 825.00 (QZQ FA-E),76,0,74.4,77.2,0,7,09 Jun 825.00 (QZQ RA-E),35.95,-1.45,33.6,35.4,2,26
09 Jun 850.00 (QZQ FQ-E),60,-3.6,59.2,61,3,16,09 Jun 850.00 (QZQ RQ-E),43.6,-5.3,42.8,44.6,173,18
09 Jun 875.00 (QZQ FY-E),35,0,45.3,47.1,0,22,09 Jun 875.00 (QZQ RY-E),63,0,53.8,55.6,0,2
09 Jun 900.00 (QSE FR-E),30.5,5.5,33.5,35.3,31,64,09 Jun 900.00 (QSE RR-E),204.85,0,66.3,69,0,10
09 Jun 950.00 (QSE FS-E),11.5,0,16.3,17.6,0,199,09 Jun 950.00 (QSE RS-E),0,0,98.8,101.6,0,0
09 Jun 1000.00 (QSE FT-E),4.8,0,6.6,7.6,0,4,09 Jun 1000.00 (QSE RT-E),0,0,138.9,141.9,0,0
09 Jun 1050.00 (QSE FJ-E),2.2,0.2,2.25,2.85,1,27,09 Jun 1050.00 (QSE RJ-E),256.9,0,184.3,187.3,0,0
09 Jun 1100.00 (SZQ FS-E),0.5,0,0.55,1.15,0,10,09 Jun 1100.00 (SZQ RS-E),279,0,232.6,235.6,0,2
09 Jun 1125.00 (SZQ FE-E),0.05,0,0.2,0.8,0,14,09 Jun 1125.00 (SZQ RE-E),119.1,0,257.2,260.2,0,1
09 Jun 1150.00 (SZQ FI-E),0.05,0,0.05,0.65,0,92,09 Jun 1150.00 (SZQ RI-E),50,0,282,285,0,1
09 Jun 1175.00 (SZQ FO-E),0.05,0,0.05,0.55,0,86,09 Jun 1175.00 (SZQ RO-E),250,0,306.8,309.8,0,5
09 Jun 1200.00 (SZQ FT-E),0.05,0,0,0.45,0,89,09 Jun 1200.00 (SZQ RT-E),93,0,331.7,334.7,0,0
09 Jun 1225.00 (SZQ FF-E),0,0,0,0.4,0,0,09 Jun 1225.00 (SZQ RF-E),0,0,356.6,359.6,0,0
09 Jun 1250.00 (SZQ FJ-E),0.05,0,0,0.2,0,121,09 Jun 1250.00 (SZQ RJ-E),0,0,381.6,384.6,0,0
09 Jun 1275.00 (SZQ FP-E),0.05,0,0,0.2,0,168,09 Jun 1275.00 (SZQ RP-E),0,0,406.5,409.5,0,0
09 Jun 1300.00 (SAQ FT-E),0.2,0,0,0.2,0,158,09 Jun 1300.00 (SAQ RT-E),626.65,0,431.5,434.5,0,1
09 Jun 1325.00 (SAQ FE-E),0.2,0,0,0.2,0,180,09 Jun 1325.00 (SAQ RE-E),0,0,456.4,459.4,0,0
09 Jun 1350.00 (SAQ FJ-E),0.2,0,0,0.2,0,164,09 Jun 1350.00 (SAQ RJ-E),147,0,481.4,484.4,0,0
09 Jun 1375.00 (SAQ FO-E),0.05,0,0,0.2,0,158,09 Jun 1375.00 (SAQ RO-E),0,0,506.4,509.4,0,0
09 Jun 1400.00 (SLQ FT-E),0.05,0,0,0.2,0,167,09 Jun 1400.00 (SLQ RT-E),0,0,531.3,534.3,0,0
09 Jun 1425.00 (SLQ FE-E),0.05,0,0,0.2,0,132,09 Jun 1425.00 (SLQ RE-E),0,0,556.3,559.3,0,0
09 Jun 1450.00 (SLQ FJ-E),0.05,0,0,0.2,0,158,09 Jun 1450.00 (SLQ RJ-E),0,0,581.3,584.3,0,0
09 Jun 1475.00 (SLQ FO-E),0.05,0,0,0.2,0,104,09 Jun 1475.00 (SLQ RO-E),0,0,606.2,609.2,0,0
09 Jun 1500.00 (SQP FT-E),0.05,0,0,0.2,0,85,09 Jun 1500.00 (SQP RT-E),522.35,0,631.2,634.2,0,0
09 Jun 1550.00 (SQP FJ-E),0.45,0,0,0.2,0,1,09 Jun 1550.00 (SQP RJ-E),0,0,681.1,684.1,0,0
09 Jun 1600.00 (SKQ FT-E),0,0,0,0.1,0,0,09 Jun 1600.00 (SKQ RT-E),0,0,731.1,734.1,0,0
09 Jun 1650.00 (SKQ FJ-E),0,0,0,0.1,0,0,09 Jun 1650.00 (SKQ RJ-E),0,0,781,784,0,0
09 Jul 200.00 (SPV GD-E),0,0,662.9,665.9,0,0,09 Jul 200.00 (SPV SD-E),0,0,0,0.15,0,0
09 Jul 250.00 (SPV GA-E),0,0,613,616,0,0,09 Jul 250.00 (SPV SA-E),0,0,0,0.3,0,0
09 Jul 300.00 (SPV GT-E),0,0,563.2,566.2,0,0,09 Jul 300.00 (SPV ST-E),0,0,0.05,0.35,0,0
09 Jul 350.00 (SPV GJ-E),0,0,513.4,516.4,0,0,09 Jul 350.00 (SPV SJ-E),0,0,0,0.5,0,0
09 Jul 400.00 (SZU GT-E),0,0,463.7,466.7,0,0,09 Jul 400.00 (SZU ST-E),0.3,0,0.15,0.75,0,53
09 Jul 450.00 (SZU GJ-E),0,0,414.2,417.2,0,0,09 Jul 450.00 (SZU SJ-E),1.95,0,0.6,1.15,0,20
09 Jul 475.00 (SZU GO-E),0,0,389.5,392.5,0,0,09 Jul 475.00 (SZU SO-E),0,0,0.8,1.4,0,0
09 Jul 500.00 (SYU GT-E),338.15,0,364.9,367.9,0,2,09 Jul 500.00 (SYU ST-E),1.55,0,1.1,1.7,0,2531
09 Jul 510.00 (SYU GB-E),0,0,355.1,358.1,0,0,09 Jul 510.00 (SYU SB-E),0,0,1.25,1.85,0,0
09 Jul 520.00 (SYU GD-E),0,0,345.3,348.3,0,0,09 Jul 520.00 (SYU SD-E),0,0,1.45,2.05,0,0
09 Jul 525.00 (SYU GE-E),0,0,340.4,343.4,0,0,09 Jul 525.00 (SYU SE-E),0,0,1.55,2.15,0,0
09 Jul 530.00 (SYU GF-E),0,0,335.5,338.5,0,0,09 Jul 530.00 (SYU SF-E),0,0,1.65,2.25,0,0
09 Jul 540.00 (SYU GH-E),0,0,325.7,328.7,0,0,09 Jul 540.00 (SYU SH-E),0,0,1.85,2.45,0,0
09 Jul 550.00 (SYU GJ-E),0,0,316,319,0,0,09 Jul 550.00 (SYU SJ-E),3.2,0,2.1,2.7,0,1132
09 Jul 560.00 (SYU GL-E),0,0,306.3,309.3,0,0,09 Jul 560.00 (SYU SL-E),2.75,-1.05,2.4,3,1,3
09 Jul 570.00 (SYU GN-E),0,0,296.6,299.6,0,0,09 Jul 570.00 (SYU SN-E),0,0,2.7,3.3,0,0
09 Jul 575.00 (SYU GP-E),0,0,291.8,294.8,0,0,09 Jul 575.00 (SYU SP-E),5.4,0,2.85,3.5,0,1684
09 Jul 580.00 (SYU GY-E),0,0,287,290,0,0,09 Jul 580.00 (SYU SY-E),0,0,3,3.6,0,0
09 Jul 585.00 (SYU GQ-E),0,0,282.2,285.2,0,0,09 Jul 585.00 (SYU SQ-E),0,0,3.1,3.9,0,0
09 Jul 590.00 (SYU GR-E),0,0,277.4,280.4,0,0,09 Jul 590.00 (SYU SR-E),5.2,0,3.3,4.1,0,3
09 Jul 600.00 (SYG GT-E),0,0,267.8,270.8,0,0,09 Jul 600.00 (SYG ST-E),4.4,-1,3.8,4.6,2,9528
09 Jul 610.00 (SYG GB-E),0,0,258.3,261.3,0,0,09 Jul 610.00 (SYG SB-E),5.5,0,4.3,5.1,0,55
09 Jul 615.00 (SYG GC-E),0,0,253.6,256.6,0,0,09 Jul 615.00 (SYG SC-E),6.5,0,4.5,5.3,0,35
09 Jul 620.00 (SYG GD-E),0,0,248.9,251.9,0,0,09 Jul 620.00 (SYG SD-E),0,0,4.8,5.6,0,0
09 Jul 625.00 (SYG GE-E),0,0,244.2,247.2,0,0,09 Jul 625.00 (SYG SE-E),5.7,-1.8,5,6,1,1922
09 Jul 630.00 (SYG GF-E),0,0,239.5,242.5,0,0,09 Jul 630.00 (SYG SF-E),6,0,5.3,6.3,0,14
09 Jul 640.00 (SYG GH-E),0,0,230.2,233.2,0,0,09 Jul 640.00 (SYG SH-E),8.5,0,5.9,7,0,24
09 Jul 650.00 (SYG GJ-E),200.8,0,220.9,223.9,0,25,09 Jul 650.00 (SYG SJ-E),7.9,-2.1,6.7,7.7,267,6561
09 Jul 660.00 (SYG GL-E),0,0,211.8,214.8,0,0,09 Jul 660.00 (SYG SL-E),10.45,0,7.5,8.5,0,2
09 Jul 670.00 (SYG GN-E),0,0,202.7,205.7,0,0,09 Jul 670.00 (SYG SN-E),11.55,0,8.4,9.4,0,2
09 Jul 675.00 (SYG GO-E),0,0,198.2,201.2,0,0,09 Jul 675.00 (SYG SO-E),9.8,-0.45,8.9,9.9,22,1947
09 Jul 680.00 (SYG GP-E),0,0,193.7,196.7,0,0,09 Jul 680.00 (SYG SP-E),0,0,9.4,10.4,0,0
09 Jul 690.00 (SYG GR-E),0,0,184.9,187.9,0,0,09 Jul 690.00 (SYG SR-E),0,0,10.4,11.7,0,0
09 Jul 700.00 (SPZ GT-E),0,0,176.1,179.1,0,0,09 Jul 700.00 (SPZ ST-E),12.5,-3.2,12,12.9,28,15830
